# t alphaD area se kMix epsMix kC kD epsC epsD ReLambdaC ReLambdaD uAvgCx uAvgCy uAvgCz uAvgDx uAvgDy uAvgDz
0.0000000000000000e+00 6.5913310000000003e-02 3.1080220000000001e+01 4.2836960000000000e-03 9.4324129999999995e-01 4.7657110000000003e-01 1.0029690000000000e+00 9.6812770000000004e-01 4.7738599999999998e-01 4.6502159999999998e-01 8.5304500000000004e+01 8.3428670000000000e+00 2.5546070000000001e-02 1.0215170000000001e-02 -2.1774930000000001e-02 -2.1119050000000000e-01 -2.7463620000000000e-01 4.7996630000000001e-01
1.0000000000000000e-02 6.5913310000000003e-02 3.1121810000000000e+01 4.2894279999999996e-03 9.4210980000000000e-01 4.6742879999999998e-01 1.0019840000000000e+00 9.3594699999999997e-01 4.7553790000000001e-01 3.5251070000000001e-01 8.5386189999999999e+01 9.2636970000000005e+00 2.5555840000000000e-02 1.0216640000000001e-02 -2.1759199999999999e-02 -2.1229560000000000e-01 -2.7556720000000001e-01 4.7803259999999997e-01
2.0000000000000000e-02 6.5913310000000003e-02 3.1252829999999999e+01 4.3074860000000001e-03 9.4136410000000004e-01 4.6229680000000001e-01 1.0013609999999999e+00 9.1121300000000005e-01 4.7411280000000000e-01 2.9484690000000002e-01 8.5461169999999996e+01 9.8614519999999999e+00 2.5566430000000001e-02 1.0217570000000000e-02 -2.1742770000000002e-02 -2.1346989999999999e-01 -2.7650710000000001e-01 4.7608669999999997e-01
2.9999999999999999e-02 6.5913310000000003e-02 3.1441710000000000e+01 4.3335190000000001e-03 9.4085870000000005e-01 4.5875949999999999e-01 1.0009640000000000e+00 8.9077350000000000e-01 4.7297919999999999e-01 2.5724520000000001e-01 8.5529619999999994e+01 1.0320790000000001e+01 2.5577690000000000e-02 1.0217890000000000e-02 -2.1725580000000001e-02 -2.1470560000000000e-01 -2.7743099999999998e-01 4.7408929999999999e-01
4.0000000000000001e-02 6.5913310000000003e-02 3.1670909999999999e+01 4.3651089999999998e-03 9.4050719999999999e-01 4.5611210000000002e-01 1.0007109999999999e+00 8.7328649999999997e-01 4.7205870000000000e-01 2.3012450000000001e-01 8.5591329999999999e+01 1.0697800000000001e+01 2.5589569999999999e-02 1.0217459999999999e-02 -2.1707370000000000e-02 -2.1599850000000001e-01 -2.7831950000000000e-01 4.7200839999999999e-01
5.0000000000000003e-02 6.5913310000000003e-02 3.1928249999999998e+01 4.4005770000000001e-03 9.4025570000000003e-01 4.5404010000000000e-01 1.0005489999999999e+00 8.5801200000000000e-01 4.7130240000000001e-01 2.0940800000000001e-01 8.5646150000000006e+01 1.1018330000000001e+01 2.5601929999999998e-02 1.0216210000000000e-02 -2.1688079999999998e-02 -2.1734339999999999e-01 -2.7915940000000000e-01 4.6982269999999998e-01
5.9999999999999998e-02 6.5913310000000003e-02 3.2205129999999997e+01 4.4387389999999997e-03 9.4007019999999997e-01 4.5237379999999999e-01 1.0004459999999999e+00 8.4448570000000001e-01 4.7067740000000002e-01 1.9298580000000001e-01 8.5694170000000000e+01 1.1296630000000000e+01 2.5614609999999999e-02 1.0214080000000000e-02 -2.1667789999999999e-02 -2.1873460000000000e-01 -2.7994059999999998e-01 4.6751840000000000e-01
7.0000000000000007e-02 6.5913310000000003e-02 3.2495370000000001e+01 4.4787420000000000e-03 9.3992900000000001e-01 4.5101170000000002e-01 1.0003800000000000e+00 8.3239320000000006e-01 4.7016210000000003e-01 1.7962339999999999e-01 8.5735470000000007e+01 1.1541610000000000e+01 2.5627589999999999e-02 1.0211170000000000e-02 -2.1646510000000001e-02 -2.2016759999999999e-01 -2.8065760000000001e-01 4.6508519999999998e-01
8.0000000000000002e-02 6.5913310000000003e-02 3.2794840000000001e+01 4.5200170000000003e-03 9.3981800000000004e-01 4.4989059999999997e-01 1.0003379999999999e+00 8.2151189999999996e-01 4.6974379999999999e-01 1.6854169999999999e-01 8.5770020000000002e+01 1.1759250000000000e+01 2.5640750000000000e-02 1.0207490000000000e-02 -2.1624299999999999e-02 -2.2163690000000000e-01 -2.8130470000000002e-01 4.6251759999999997e-01
8.9999999999999997e-02 6.5913310000000003e-02 3.3100499999999997e+01 4.5621450000000001e-03 9.3972789999999995e-01 4.4896259999999999e-01 1.0003110000000000e+00 8.1167540000000005e-01 4.6940769999999998e-01 1.5922559999999999e-01 8.5798400000000001e+01 1.1953500000000000e+01 2.5653940000000000e-02 1.0203169999999999e-02 -2.1601289999999999e-02 -2.2313640000000001e-01 -2.8187830000000003e-01 4.5981369999999999e-01
